mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-114.34182471323248,-121.488571968943,-123.82823468294986,-131.47216948996393,-135.13961222017025,-123.12854264104186,-128.67282947039917,0.9111210297128876,-108.5854687691144,-117.43384508178592,-122.67636103032856,-130.04537484447326,-135.1120551764287,-120.68611125628512,-126.59748658940336,0.8932297795240681,-108.65600850246012,-118.53027935057992,-122.13256513307236,-129.77911791512227,-134.4345872362178,-120.7435570291261,-125.32880540070524,0.8981584241930619,-114.66147493767868,-121.01997273640984,-122.27273374211128,-130.04245335107132,-134.26107636100488,-121.98060350797148,-128.05353957866782,0.9085328884150062,-116.038493408839,-122.73842903035288,-124.87948054642526,-132.24064979034802,-134.90412011054335,-124.04997091723534,-129.49081101602565,0.9195417516943598,-113.36917700572248,-121.24071301653096,-124.27541148348747,-131.45162531398643,-134.81707120405989,-123.03527431022138,-127.32248428253055,0.9126090131715924,-111.9390660802865,-120.18269307528864,-122.36541556889831,-129.98567078447311,-134.69213472236163,-121.6102752805504,-125.9119442745739,0.9028758474369968,-115.9848526081143,-121.69487203060967,-122.24120468746526,-128.22446327253363,-129.73861793000663,-122.58159721185588,-126.84687014850294,0.9448350781568218,-111.7984951053688,-124.15806042705428,-128.70107079678135,-134.5748396657462,-137.36537749817194,-127.1223188682294,-134.429761170815,0.9254320206699912,-118.26844919470524,-123.35485005373675,-127.85657339789802,-135.0078132505657,-137.5360021796179,-126.07688063272342,-132.7113421760548,0.9166827494961703,-115.69037619772912,-119.33780938967725,-121.96093232640392,-131.04103180713133,-135.84323752161387,-121.45741557844546,-127.26172429436164,0.894099830027391,-114.15239381395584,-119.26121552075098,-122.0252321289883,-131.32345227515873,-134.59696721531347,-121.31119135819873,-127.70766455890154,0.9012921603511196,-118.95803950217902,-126.18979651236089,-128.13512820981646,-135.0618354211623,-137.59446568472393,-127.3840371231746,-133.84409224748327,0.9257933194424772,-116.99379752438512,-126.49331120886409,-125.67050284572048,-133.58275753216134,-138.7412611715868,-126.2519744662382,-130.94531458444555,0.9099814532469716,-116.34337149087672,-120.32661215078852,-122.03041846962395,-131.23145692787205,-135.10149313205835,-121.73803398593984,-127.17717299371505,0.9010857775416584,-112.1937244218308,-120.50417516312024,-121.62366770781044,-128.69177973641996,-131.7154401286662,-121.69208129844296,-127.31170093069164,0.9239014133769594,-115.8360068484734,-121.35051675517718,-122.40505685236626,-131.27038995119725,-135.77988825034873,-122.33535943203144,-127.82455727950888,0.9009829143950356,-0.002424472014241,-0.0011477064225912,-0.0035721784368323,-0.0029922168787438,0.0108636459075753,0.0078714290288315,1,1
-114.83907319213588,-121.30413642168962,-123.7814227495279,-130.7997366764651,-134.59697667400945,-123.23644654153038,-128.9493116234981,0.915595948637138,-110.15648528217432,-120.51770731657058,-120.43145646817244,-128.579720363245,-133.61271136102496,-121.08119405953678,-127.34469706705131,0.9062101414316208,-108.4194096484214,-118.70365473162174,-121.23139181908743,-128.33031556010627,-133.41689591321327,-120.94636464508604,-126.59387492718469,0.906529595200302,-114.17432441003632,-120.2934194015845,-122.4701924131504,-128.74694961922953,-133.1366887539473,-122.205737014539,-128.1531168869557,0.9178967732958266,-115.589213665839,-122.66458352760384,-125.2484946870037,-130.64539974933967,-134.23866972388817,-124.48063486025896,-130.9170072469595,0.927308316719018,-115.35813330502114,-121.40985074215516,-123.89957750551667,-130.23328990384564,-133.259280536972,-123.55572785130656,-128.6037086862296,0.9271829125403896,-115.23798447540592,-119.5196328949537,-122.43297554136493,-128.3714789691928,-133.50912722406014,-121.94480040956958,-127.32205067488914,0.913381751083708,-114.12216688280624,-119.62745641317272,-123.5101811056887,-129.06638344388364,-131.2958624197697,-122.27523007115444,-127.22240014548152,0.9312953798972344,-119.3419073519259,-122.97026567436455,-129.1534809977206,-133.11571939410854,-136.95070253979145,-126.96514694131172,-131.74393339501222,0.9270864959923926,-117.9391213209253,-124.68845790551488,-127.13300869436296,-133.06198106032065,-137.36795517230038,-126.58648008204204,-131.66256134859225,0.9215138998266724,-116.76148095046206,-121.22623151867276,-121.3727305329614,-129.97811316007605,-135.31902684820216,-122.1053022172751,-127.65608771255587,0.9023513179284838,-108.1485435374438,-117.28371406471004,-122.55120973976096,-130.400800465352,-133.79659568560902,-120.90300403780344,-126.61903891600672,0.9036328870571376,-117.59321041684991,-123.97333504189524,-128.8660903073129,-134.7410853487772,-136.95403785518667,-127.0810692285406,-132.4565759275083,0.9279103502075228,-118.64514477058349,-122.6896763566374,-123.89374944594272,-132.73349073937447,-137.60518440038882,-123.58725823899596,-129.8479870533169,0.898129374830784,-117.57842885616682,-121.20532622382008,-121.78757704023188,-130.48246912235442,-135.06089210729144,-121.7497132360648,-127.64446698304972,0.9014431293652916,-112.28828792961524,-120.06274926092938,-123.17680470411608,-131.77961216909208,-132.90709482265265,-122.4861700287728,-128.98848798404111,0.921592411542926,-116.07132827049722,-124.03012167282714,-123.34384299005268,-132.5289777551438,-135.12090141985237,-123.82931174222855,-130.41299102113436,0.9164334343615856,-0.0054141184782866,-0.0087284594846753,-0.014142577962962,-0.0015796991545836,0.003519587283826,0.0019398881292423,1,1
-113.31624478830383,-120.73510754275937,-124.3100215834483,-130.50316969446283,-134.41466256435618,-123.33997520631917,-130.71033447523257,0.917608041066691,-111.63745148254152,-117.8186473637151,-121.9923009583947,-127.66814229408834,-132.9024498552725,-120.7799424058141,-129.5036060718293,0.9087864259638592,-106.63690914450564,-120.51677164121698,-121.93459771198532,-128.3653316136239,-131.88278189515097,-121.84741953401056,-129.42729468026266,0.9239069557304403,-105.6889316063508,-118.098496056454,-123.03843869469532,-128.8611170568791,-133.69992397953757,-121.51785275320232,-130.33956499232664,0.908884980157508,-113.74860331136163,-123.77414067929982,-124.81421239439447,-129.029129416322,-134.0674445836356,-124.72863614962668,-131.48970455988012,0.9303424596253635,-116.80051165769405,-122.0023768821189,-123.84542329175996,-129.10173841141992,-132.03092732196004,-123.57724592467136,-130.01407168692236,0.9359719607461804,-113.97474578027632,-120.01517480145776,-122.58315887829173,-128.63200654512116,-132.70108603110518,-122.0429189862825,-128.51349622815366,0.9196828951171928,-113.68724093149484,-120.0603581245057,-123.82728001588102,-130.65161994702538,-131.02965518013528,-122.91723033531692,-131.94907559712055,0.9380871083445524,-118.17527322132236,-125.22293884083471,-126.154144761903,-134.037041435309,-137.6700977015816,-125.84652739989158,-134.57216263043915,0.9141166418918422,-116.64148621443556,-123.93298573582128,-128.99594106533948,-134.02283273287884,-136.94257886103563,-127.24404419012193,-133.13003696346817,0.9291780923685142,-116.66065950907452,-120.69325474642687,-122.74997272856388,-131.14191714945224,-135.196667864502,-122.59251909809568,-129.79445079714475,0.9067717498848528,-110.91420072017098,-119.88650267302222,-124.53793169895332,-130.2520384271337,-134.13181078102673,-123.1807148900712,-130.23838102177197,0.9183557142247678,-117.06148758702422,-125.48429730453827,-129.36990386171567,-133.74429728025535,-137.1768291862102,-128.3843490111244,-133.6863081516267,0.935904042780064,-106.57510216856592,-113.64759377312768,-120.02005523654836,-130.29871843307762,-137.7407434452962,-118.03892191694293,-126.27978524626268,0.8569644606559144,-115.35840752621068,-119.4013532608746,-123.59421042795114,-130.53911819629664,-134.86390953935037,-122.73526268527084,-130.81339914702858,0.9100675125353632,-115.18979947743708,-121.09611674741376,-126.05740780425202,-130.2557066347501,-133.83251414665722,-124.23104611218028,-129.68342995612608,0.9282575830268316,-114.30910627439546,-120.11071205332212,-125.44536580454354,-131.44995953777243,-134.76518065724167,-123.7749719084834,-131.93058387335742,0.9184491966310608,-0.0038960448886737,-0.0043690457060679,-0.0082650905947416,0.0002812875333699,0.0018728392146906,0.0021541267480606,1,1
-113.71244615849471,-122.21382749325043,-123.57612123990036,-128.65648040226455,-135.15564085128156,-123.31182979860952,-127.73034987713469,0.9123690955251778,-109.53922111698112,-119.06695023787894,-119.45469458295472,-126.55598695272911,-133.86042296355382,-119.32245866476998,-127.06412198656233,0.8913946035958509,-107.10320540750384,-119.06727350765254,-119.14539762365384,-125.475528608093,-133.87141590688844,-119.41858907028482,-124.20110503531404,0.8920394862585453,-111.09554431404864,-120.13929421738796,-120.46994339546546,-126.81957697967228,-134.025999927206,-120.46651259681168,-127.15121537019036,0.8988294260982278,-114.9831913629755,-122.0787867672324,-123.79300987783184,-128.45681569473297,-135.67967089955556,-123.2202676947245,-129.15480034618946,0.9081704493958064,-115.43746677983384,-122.05084734950556,-122.51341450940464,-126.99280002363211,-135.62649568314808,-122.86153127066524,-126.71929876649013,0.9058814846746136,-115.12949377827005,-121.92697870590824,-122.09767586824918,-126.0849206327601,-135.3926670064589,-122.498586534047,-125.39005966764972,0.9047652966921998,-113.21398326584124,-121.24488527965036,-121.7257468676438,-127.21183549526629,-131.40354477275528,-121.846687581322,-126.7610798251538,0.9272709331551094,-118.49367632839603,-124.52701161154738,-127.68363568590637,-132.5742405756697,-137.43454991726597,-126.7635526747898,-131.07277168203254,0.9223557886361182,-116.14601701755775,-124.88413019313968,-129.27516023435433,-132.20276295340184,-138.44184303591385,-127.91141328628908,-129.15445446331694,0.9239360765596496,-114.7017548989638,-122.7250938076885,-124.3274462829566,-128.13551644197804,-136.2737891551195,-124.17635664738766,-125.81655648080924,0.9112270042336506,-112.2629979871539,-122.46599552694975,-121.73972590719865,-128.458528924335,-133.5666997030817,-122.41174207829424,-126.96447098385306,0.916483991521952,-117.8114053311624,-127.93134542948349,-126.12380028493882,-132.50264184349953,-136.6950025039164,-127.0643756444392,-130.6130518621206,0.9295466060714158,-105.99957423749652,-118.10272370761628,-122.70373984536992,-129.89621243816214,-136.40846193248652,-120.57783268580188,-127.10181703867757,0.8839468679404963,-117.67692139894,-123.1022528465632,-126.24624955119154,-128.82610685807106,-135.86515850657136,-125.10005768589755,-128.37726431084988,0.9207662881418334,-115.8026552228124,-122.33064766782464,-124.01423709732887,-128.6638672432283,-132.44979744040307,-123.94972139691612,-128.28650283422598,0.9358241672863892,-114.0020300879782,-123.77702303597783,-125.9040622239571,-129.6463447710014,-135.4947342661805,-125.39959126531166,-129.85702738071905,0.9254942042172882,-0.0051951359840109,0.0105737275017616,0.0053785915177507,-0.0057311327988644,0.0036173507957065,-0.0021137820031579,1,1
-114.76587702630364,-120.00055622740932,-123.28746712338214,-130.629803154036,-135.18417107526213,-122.32257440030884,-129.8157791902487,0.9048587081412603,-109.29791487267909,-117.08170580241016,-119.43334809531434,-128.97531387549748,-133.4255446873231,-118.90142162985124,-127.8705207192262,0.8911443600136052,-107.73391888699902,-115.55206045779028,-119.72792667124642,-128.80679156891236,-133.2989541405895,-118.77111064704074,-128.1068214440882,0.8910130721788985,-111.34868953581864,-116.8766266164425,-121.07317696829811,-128.72487682967162,-132.41646794280766,-119.7931251286642,-126.90715375261796,0.9046693888588264,-115.34826514486107,-119.13969110304916,-122.6372699287194,-130.87817915040824,-134.544813050455,-121.737218148866,-129.9672076669238,0.9048079624088812,-114.3741659201608,-119.71460700403053,-122.93180616887038,-129.00738782919913,-135.2879402560819,-122.17316002679485,-131.81501718105952,0.9030602417003132,-115.66719222400636,-117.76182822582965,-121.28929417396093,-128.66633272446072,-134.24148448130933,-120.40384023772282,-129.20807513527564,0.8969197614503946,-114.07314835709109,-119.04384325939604,-122.7493092037441,-128.8945668903826,-131.4009716411847,-121.7824244568653,-128.47026560826131,0.926800029983152,-112.6599241640862,-121.96435428319516,-127.6189061007296,-133.8170038288453,-137.82829994758566,-125.70077835871828,-132.2784344188329,0.912009931244314,-119.41381737983777,-122.75431678211956,-128.2915840604535,-133.07226157940414,-138.28031108265222,-126.25911064269852,-132.00713425607591,0.9130664347958514,-116.24816769986792,-118.89580167207195,-122.1614295712483,-131.21768670837858,-136.30531969358478,-121.37336792530472,-129.28299765058668,0.8904521716258237,-115.50148870248964,-120.12498794466012,-122.5948608070177,-129.74785835400252,-135.10559324905532,-122.03892622609844,-128.03458666221218,0.9032855212820864,-119.59778158784977,-126.44872253881488,-128.8831199763306,-133.84908938903467,-138.86906664033475,-127.9995583601931,-131.9969231224932,0.9217283694410272,-114.78013859927388,-123.945980874241,-124.5114013995682,-132.52646225663713,-137.40192714422315,-124.109260863964,-130.48055275954815,0.9032570608248706,-118.74783032414057,-120.14467989552448,-122.22439059728477,-130.7307396158326,-135.5600116233509,-121.59850809263207,-129.7474152482908,0.8970086874180093,-114.00651371120802,-120.41202203986722,-123.18211995005235,-129.68166943508237,-133.4781844326613,-122.3506237159491,-129.55934114124517,0.9166338621999616,-117.4550753104881,-120.14767113910692,-123.28953030127552,-131.48063042882688,-135.50184719099525,-122.16875594357812,-131.32002027724138,0.9016021440015972,0.0011994028109383,-0.0024003832393642,-0.0012009804284258,-0.0071985194982217,0.0089312202168665,0.0017327007186448,1,1
-112.5348931563312,-120.02512531987344,-126.0205758687246,-131.32722203610464,-134.49581903463397,-123.71623089786875,-129.01690544938083,0.9198518718712784,-109.70060487243067,-118.1492032493736,-124.94763545018483,-129.180718077751,-132.94221027921898,-122.20105224617964,-127.23223008789984,0.9192043068151218,-107.5422651086012,-115.52951258303844,-123.87597365475196,-130.64282223198177,-132.75746143329349,-120.76618011770628,-128.39532891079392,0.9096752740966468,-111.43051031924684,-118.86642644391378,-125.10067229007656,-129.46284940384965,-133.87059140545978,-122.82244778190706,-127.6404950037555,0.917471466230468,-114.14359249057476,-120.57716259464172,-126.96688686341638,-131.16269928073905,-134.37793034481209,-124.61072037535544,-129.45707586108358,0.927315371323296,-113.74290827712406,-118.96041932611628,-126.74074676014432,-132.521995458645,-134.21930722827793,-123.7426373324264,-130.834461552645,0.9219436449777456,-112.111119056747,-118.01227844992708,-125.84712215450516,-131.25585378009455,-134.03316703065386,-122.7449127766158,-129.75754952631195,0.9157801423027152,-112.14180542665927,-120.24819327492264,-125.64820669490123,-129.77041873769252,-131.29165417459038,-123.84508809998874,-128.23341820253222,0.9432822587131148,-114.100438196099,-124.11319739508497,-129.18033739584138,-134.0976707636296,-137.69329263871865,-127.7013712975172,-132.76925890919443,0.9274334925854496,-116.3615213732652,-125.27797601078652,-129.53814151267773,-135.4466563295708,-137.13156077611276,-127.56916920726376,-134.17100678012065,0.9302684844048338,-115.6815988876576,-121.00273609835033,-127.50251935451828,-131.81857241558637,-135.21119844909873,-124.58850050030628,-129.26429932145453,0.9214362562373748,-111.58535698461594,-118.85899340559332,-125.2255808557808,-130.86683675524705,-134.1872481640682,-122.89657154123026,-127.61186220055188,0.915858795993543,-115.16649072696796,-124.94891227283748,-128.62475991438438,-134.54627534375192,-137.8914595622747,-127.47445249603383,-132.21827747240735,0.9244550235430912,-108.46292451131971,-116.55797068199809,-119.93965405210956,-126.4606095062632,-132.10106817190456,-118.71092175695554,-123.96714053215116,0.8986371071767242,-116.42069838862552,-120.4849407523022,-127.42837937553526,-131.51824593692058,-134.7196565832898,-124.22173024371855,-127.62918915963348,0.9220757638059972,-107.806096341459,-118.88761482237103,-123.05624944113484,-130.620084537257,-133.25635559421994,-121.3574115165136,-127.27036538553966,0.9107063672524564,-114.16035953990516,-119.92646775671744,-126.70634812963058,-131.86324401869436,-136.2489427181502,-124.20652707618152,-127.81852828401836,0.9116146121817614,-0.000891341344532,0.0073249351821138,0.0064335938375818,0.0051550059788241,0.0078296631248282,0.0129846691036524,1,1
-112.62386054509628,-121.90364353708613,-124.98620053058772,-129.83400522494398,-135.38441279873845,-124.08566289797676,-129.8873383344685,0.9165431997141478,-107.92542844539052,-119.34251344254608,-121.1016709232107,-127.58458834422048,-134.05836546211026,-121.61555814817436,-129.4464691104505,0.9071836563794844,-107.07352780602378,-118.35112316444686,-122.34763842257864,-126.08920324455164,-133.02661717857598,-121.73935697513367,-127.97989458379344,0.9151503628158102,-105.8851522456909,-119.49942323507427,-122.34266791988598,-127.811034049107,-133.2378284331888,-121.69589028025354,-128.80929800775692,0.9133734143774124,-116.2140635505788,-123.40916574049888,-124.02534556390135,-129.15012563088666,-135.27594110752466,-124.59883955235642,-132.17662574758128,0.9210716889658784,-113.27460842811382,-123.94094377352876,-124.78229021046216,-127.44513381958826,-134.64727914043507,-124.89967356609378,-130.0068462974683,0.9276063680115312,-109.46493631423678,-121.6891573294206,-123.08538511250656,-127.03411225516048,-134.09103697098888,-123.05570504545628,-128.75710899797818,0.9177026878543706,-112.44186433761573,-121.58916742935354,-126.3802606386487,-128.78832282595832,-131.93569207401762,-124.3578228756833,-127.97031024669484,0.9425639182300796,-113.88403803677858,-125.19096198604583,-129.7687258456166,-133.13705052073487,-136.94715813408192,-127.943816204584,-132.90576698329215,0.9342568180883102,-114.55764165078784,-125.65468606564518,-128.71595237558336,-133.07277930151756,-138.4930349920177,-127.4080135738275,-132.17075148612065,0.9199597191380122,-110.73402139110075,-120.9360639364832,-123.46383034921136,-130.2435406355692,-136.34263955587414,-122.71474035098692,-128.70293088236065,0.9000466820264074,-112.7835731780027,-121.0062242384276,-124.24379534394288,-129.68844396131618,-133.93120787782894,-123.02852245431303,-128.03347398146934,0.9185948846704852,-118.9069844032121,-125.1058022937044,-129.90115103336316,-134.3382998043999,-137.85429023823784,-128.22570922302648,-133.39394131525475,0.930153925579165,-115.59496590655596,-121.3105195008228,-127.27964230661809,-132.00411290316964,-138.47768857164948,-125.00436674066418,-130.45604243564608,0.9027040242369868,-113.77539432105458,-121.1610962990033,-123.76096943110136,-129.62780976742786,-135.9739474394161,-122.67628839543931,-128.68436853414696,0.9022043612442626,-114.92151097129548,-121.2255655875434,-124.41457494497732,-130.49498962644606,-134.77787213808008,-123.2889712760658,-128.91724216013026,0.9147567721632828,-114.54405773510224,-121.04588257083309,-124.16530806779544,-130.8345369090499,-137.0800054657879,-123.11733170556948,-129.78634258135168,0.8981421563795954,0.0030422886508485,-0.0116730008618817,-0.0086307122110332,-0.0066446738530938,0.0056179104383697,-0.0010267634147241,1,1
-113.77808768562949,-120.26741239620698,-124.74378203952224,-130.6786568838302,-135.08788394419727,-123.07640556603825,-127.93780537694155,0.911083969728027,-108.55441067437336,-117.53964896303182,-123.21645009475463,-128.37254678675498,-134.18937890505492,-121.0189096867872,-125.68042338017052,0.901851626963812,-108.9671718646062,-118.2790947111913,-122.18345606385265,-127.75709924055629,-133.63818344407358,-120.93228214628289,-125.34516122993736,0.9049231217430608,-115.79707721178406,-118.10465642166496,-124.48526559662892,-128.47539885063566,-133.84312522189066,-121.99255016427908,-126.1403129920273,0.9114592173638713,-117.14782904723054,-120.71551177969282,-126.67124719122974,-130.03130070875105,-135.2016447665044,-124.20227807159785,-127.88822572947332,0.9186447271858073,-115.04428399874492,-121.24331213592188,-125.06108056985764,-127.9774421621784,-134.05302570329204,-123.9556229736379,-126.16748490595404,0.92467605504106,-116.08267226709928,-119.5454888877166,-122.82127611469892,-127.38256971494748,-131.69527486018086,-121.70801114872768,-125.94755954226278,0.9241638417015604,-115.90112012432591,-119.71534824893877,-125.0017561728896,-129.12438746333686,-132.11850836504297,-122.74788695413092,-126.12828452260588,0.9290741204478252,-113.2000806997974,-124.2278546026306,-128.58599079283312,-133.78809138055223,-137.64553182253337,-126.90174185299584,-131.39027446310257,0.9219459591075608,-116.19892330587628,-123.64663632498925,-128.1541110686463,-133.7819640750653,-137.9732685292773,-126.17716828905512,-129.04527861372028,0.9145044517248708,-116.4349140692351,-119.81591072488698,-122.91141967986698,-132.28647975142465,-136.66290162389134,-121.99270273051236,-128.74142500710263,0.8926541239863858,-112.48686726287748,-119.4650635421861,-122.93682454408356,-129.39250313653793,-133.66501511764352,-121.60837943811003,-125.97791940744555,0.9097996160856152,-118.33550576485146,-123.08092982086076,-129.1893260262548,-134.5974691714723,-137.8116530515226,-126.70203915444397,-130.31388722978556,0.919385526179523,-112.14260648646604,-122.97756203549145,-126.42432125902344,-134.200736249366,-138.25782000872815,-125.16097154634916,-130.3590256204292,0.9052722771011996,-115.55247322814998,-119.8753044099056,-122.13256061016637,-132.3723924781539,-135.74881838631546,-121.5529592470467,-128.95511031058396,0.8954255417614757,-104.9517661864988,-115.383400161952,-121.997561267119,-128.10189144945176,-132.09531913978296,-119.32894891893596,-127.15928974651914,0.903354862958182,-113.65170077815468,-120.6628755682509,-124.12786558045032,-133.21623752209862,-136.80667416142225,-123.2400367337192,-131.76522332994458,0.9008335118819176,-0.0063963442267942,-0.0084317281073602,-0.0148280723341544,-0.00796042228538,0.0120962541526247,0.0041358318672446,1,1
-112.77511866054468,-119.60881833985223,-124.64834000367787,-131.6751286836811,-134.89518933559404,-122.73575208985228,-130.3582314105093,0.9098601120942026,-109.32362800062138,-118.44453602900386,-122.16533327698448,-129.48377802271523,-133.28003430229518,-120.60667815195568,-127.90595360128202,0.9049118180627506,-107.39221793861788,-117.2527833056354,-121.85936191335702,-129.01737119400207,-133.74759355680342,-120.3627965893621,-128.1114011177005,0.8999249510851445,-107.54678609102704,-117.51729911801858,-124.04019596376484,-129.8542870233315,-133.24055050038416,-121.44050816614,-128.60070673639643,0.9114380547819028,-114.90638868346272,-120.57338130250548,-126.04354971755971,-132.21281459736832,-134.0526684821243,-123.6868626115582,-130.5299869118848,0.9226736327748049,-114.9921716052758,-120.89887191274184,-124.03543983627546,-130.73060757252708,-134.99334690779386,-122.92637827391349,-128.9579166262223,0.91061064185539,-115.30338867577136,-119.12134226802203,-122.07248084631456,-129.0050146859186,-132.156391665108,-121.3655013591924,-128.95288595341214,0.9183475716160564,-109.72944312190624,-117.89106314091832,-125.12774897599134,-130.53068954761733,-132.21731166002397,-122.19975001930456,-129.9165554271197,0.9242341149207604,-112.47614869316806,-123.1841825245864,-128.21963068156313,-134.77026610852445,-137.42143506811792,-126.30563098420788,-132.96267235928704,0.9191115703427192,-115.55879029799794,-125.07652633710435,-128.71075468323596,-135.1756698437692,-137.93502392971035,-127.31700549993948,-133.22220305297893,0.9230215928683808,-114.89376419578328,-118.85680557890824,-122.23971510502406,-132.51944323719286,-135.67977302899425,-121.1380770535541,-130.52242059751904,0.8928234057973207,-112.34401056624633,-117.43044470480424,-123.86218289636209,-131.10327649853133,-133.65864985168452,-121.47932596016446,-131.59822380476135,0.9088773984696468,-117.96834455278544,-122.60637850981428,-128.81015564386178,-135.09573832502895,-136.8576848176994,-126.45446745142344,-134.15126922131373,0.9239851428136204,-110.26233852784809,-121.1121922433751,-125.00914002198476,-132.36366424047392,-137.74763149413042,-123.3617427395194,-129.5532827704114,0.8955634401944397,-114.68677347397409,-118.08426427113102,-123.1504547306178,-131.78611916410884,-135.8267879185614,-121.13714121060944,-129.69159979128298,0.8918501502313407,-113.5310085408172,-117.9044933388269,-124.37721972432811,-130.70968808665145,-133.5749559849846,-121.91770496678323,-130.14736065570554,0.9127287676627664,-113.486695603412,-117.78652885223968,-124.65007604162108,-132.44363079113634,-135.93319020108876,-122.07246240000832,-130.90726394087085,0.898032792575706,-0.0080299024115017,-0.0116750757085071,-0.0197049781200089,-0.0056369808098243,0.0075603599531441,0.0019233791433197,1,1
-112.98379349780112,-119.4893783565099,-124.95362336074088,-130.78161473886956,-134.5691072887791,-123.02481483498087,-129.64687338166453,0.9142129075061436,-109.02662139767772,-116.83326108418473,-122.15582146410748,-129.62210857830246,-133.36134186280125,-120.52278192603058,-130.55452364298245,0.9037310231177887,-106.45853296488434,-116.08657688622772,-123.15167159676196,-129.74428662235096,-133.54430218261083,-120.62634307724272,-129.65613101213506,0.9032683619275356,-113.44110147728834,-118.5385410639688,-123.38250292582936,-129.20785366847215,-133.80040096616506,-122.02415117389388,-129.2597997028471,0.911986438700964,-113.46125442801994,-120.25910506968994,-125.5389503507605,-130.82691240226367,-134.018002734259,-124.01210842568037,-132.26278985505886,0.9253391775400572,-111.42058196574015,-118.98611548993964,-125.88591387612178,-130.55958093438963,-133.93941858061245,-123.13742483163097,-131.00296870663226,0.9193516452180188,-111.32309275262122,-118.0939062938741,-124.63320033282052,-130.52715783386793,-134.23296571240996,-121.98318328458534,-130.20278078611904,0.9087423691876896,-114.01225792641702,-119.59646182364509,-123.91115204938886,-128.95128687248874,-132.15532440332305,-122.65069230777618,-127.10548678153614,0.9280798398516292,-116.3323538615455,-123.65158731532117,-127.5638332398594,-133.59823069232303,-136.6908398153799,-126.36242161619656,-132.03572428828204,0.9244395731774472,-117.30365181224384,-123.69661224390248,-128.24806899808272,-134.11132128966688,-137.24500682251858,-126.83096589001914,-131.31338963177814,0.9241208028357156,-112.60968952624503,-117.87784640710488,-124.08070651439164,-131.3945800718091,-135.8996800812462,-121.82856018045337,-129.91850115928955,0.8964595068039852,-109.74628062360406,-115.02607630376104,-121.71165951746394,-127.78847346714224,-132.90333507219609,-119.42702775615538,-123.75864445126555,0.8986006836568844,-117.3073600260877,-124.60072810777756,-127.6218873010104,-133.57454575256543,-137.015965200121,-126.42991913306692,-130.57188325136332,0.9227385943558296,-111.42375819833586,-121.61782988976952,-127.00338259644474,-133.01778042748137,-137.0261590941131,-125.02779027557172,-131.31999609066895,0.9124373849645704,-115.42675890526274,-117.32260852180514,-123.52676872826524,-130.01357222885474,-133.5688124234664,-121.60684503187468,-128.70093686802616,0.9104434098457992,-113.95932438915906,-121.34590434327816,-124.64078373188168,-128.85653430386077,-133.2419739090218,-122.78979264272236,-126.49601194497772,0.9215548902522548,-114.48807570968548,-118.29689285990872,-126.20167054866404,-130.7116106760738,-134.46218776022044,-123.137029806794,-130.1904059336701,0.9157744036292044,0.0013799889140963,0.0006837098039618,0.0020636987180581,-0.0010227440005086,0.0093847973390071,0.0083620533384985,1,1
